,Guideline Item,Description (specification and/or example content),Item type,AI-specific item?,STARE-HI,TRIPOD,Luo et al.,CONSORT-AI,SPIRIT-AI,Schwendicke et al.,CLEAR Derm,DECIDE-AI,CLEAR,,% Item included in high-level consensus guidelines (Y/P),,Good ML Practice,MI-CLAIM,PRIME,DOME,Shen,Hatt et al.,,% Item included in intermediate-level consensus guidelines (Y/P),,Vihinen,CLAIM,MINIMAR,Stevens et al.,CAIR,PIECES,Zukotynski et al.,El Naqa et al.,Jones et al.,R-AI-DIOLOGY,Volovici et al.,,% Item included in low-level consensus guidelines (Y/P),,% Item included in all guidelines (Y/P),,,General,,Specific
Year,,,,,2009,2015,2016,2020,2020,2021,2022,2022,2023,,,,2019,2020,2020,2021,2022,2023,,,,2012,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,,,,,,,,,
Inclusion Process,,,,,"""+""",%,*,*,*,*,*,*,*,,,,"""+""",*,*,*,*,#,,,,*,#,*,*,*,#,*,#,*,*,#,,,,,,,,,
Guideline Type,,,,,G,G,G,G,G,S,S,G,S,,,,G,G,S,G,S,S,,,,G,S,G,G,G,S,S,S,S,S,G,,,,,,,,,
Level of Consensus,,,,,H,H,H,H,H,H,H,H,H,,,,M,M,M,M,M,M,,,,L,L,L,L,L,L,L,L,L,L,L,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Rationale,Topic,Predictive AI,Content,Yes,N,Y,Y,Y,Y,Y,N,Y,Y,,"0,78",,N,N,P,N,N,N,,"0,17",,N,Y,N,N,Y,N,N,N,Y,N,N,,"0,27",,"0,42",,,"0,43",,"0,50"
,Study Design,"Retrospective vs. prospective, prognostic vs. diagnostic",Content,Partially,Y,Y,Y,N,N,Y,N,Y,Y,,"0,67",,N,Y,Y,N,N,Y,,"0,50",,N,Y,N,N,N,N,N,N,N,N,N,,"0,09",,"0,38",,,"0,36",,"0,50"
,Prediction Problem,"Prediction target, outcome parameters, performance metrics",Content,Yes,Y,Y,Y,Y,Y,Y,N,Y,Y,,"0,89",,P,Y,Y,N,N,Y,,"0,67",,N,Y,P,P,P,Y,N,N,Y,P,N,,"0,64",,"0,73",,,"0,79",,"0,75"
,Clinical Setting,Details on the clinical problem and intended use,Content,No,Y,Y,Y,Y,Y,Y,Y,Y,Y,,"1,00",,Y,Y,N,N,P,Y,,"0,67",,N,Y,P,P,Y,Y,N,P,Y,Y,N,,"0,73",,"0,81",,,"0,79",,"0,83"
,Rationale,Relation between prediction problem and clinical goal,Content,Yes,Y,P,Y,Y,Y,P,P,Y,P,,"1,00",,Y,Y,N,N,N,Y,,"0,50",,N,Y,N,P,P,P,N,P,Y,P,N,,"0,64",,"0,73",,,"0,71",,"0,75"
,Existing AI and Statistical Models,"Performance metrics, level of translation, clinical application",Content,Yes,P,Y,Y,N,Y,Y,N,P,Y,,"0,78",,N,P,Y,Y,N,N,,"0,50",,Y,N,N,N,N,P,N,P,P,P,Y,,"0,55",,"0,62",,,"0,64",,"0,58"
,State-of-the-art,Identify state-of-the-art clinical solution and use as a baseline for comparison,Quality,Partially,P,P,N,N,N,P,N,N,P,,"0,44",,P,Y,N,Y,P,N,,"0,67",,P,N,N,N,N,N,N,N,N,N,N,,"0,09",,"0,35",,,"0,43",,"0,33"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,"Data Sources, Types, and Structure","Original data format and volume, facility details, structured vs. unstructured data",Content,Partially,Y,Y,Y,P,P,Y,Y,Y,Y,,"1,00",,P,Y,Y,P,P,Y,,"1,00",,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,"0,91",,"0,96",,,"0,93",,"1,00"
