cata,name,test,,,,,,,,,,,,,,,,,,,,,,,
Clinical Rationale,Topic,Predictive AI,Content,Yes,N,Y,Y,Y,Y,Y,N,Y,N,N,P,N,N,N,N,Y,N,N,Y,N,N
Clinical Rationale,Study Design,"Retrospective vs. prospective, prognostic vs. diagnostic",Content,Partially,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N
Clinical Rationale,Prediction Problem,"Prediction target, outcome parameters, performance metrics",Content,Yes,Y,Y,Y,Y,Y,Y,N,Y,P,Y,Y,N,N,Y,N,Y,Y,N,Y,P,N
Clinical Rationale,Clinical Setting,Details on the clinical problem and intended use,Content,No,Y,Y,Y,Y,Y,Y,P,Y,Y,Y,N,N,P,Y,N,Y,Y,N,Y,Y,N
Clinical Rationale,Rationale,Relation between prediction problem and clinical goal,Content,Yes,Y,Y,P,Y,Y,Y,P,Y,Y,Y,N,N,N,Y,N,Y,P,N,Y,P,N
Clinical Rationale,Existing AI and Statistical Models,"Performance metrics, level of translation, clinical application",Content,Yes,P,N,Y,Y,N,Y,N,P,N,P,Y,Y,N,N,Y,N,P,N,P,P,Y
Clinical Rationale,State-of-the-art,Identify state-of-the-art clinical solution and use as a baseline for comparison,Quality,Partially,P,N,P,N,N,N,N,P,P,Y,N,Y,P,N,P,N,N,N,N,N,N
Data,"Data Sources, Types, and Structure","Original data format and volume, facility details, structured vs. unstructured data",Content,Partially,Y,Y,Y,Y,P,P,Y,Y,P,Y,Y,P,P,Y,N,Y,Y,Y,Y,Y,Y
Data,Data Selection,Inclusion and exclusion criteria at the level of data and participants,Content,Partially,Y,Y,Y,Y,Y,Y,N,Y,P,N,N,N,P,P,N,Y,Y,N,Y,N,Y
Data,Data Preprocessing,"Data transformation, handling of missing data and outliers",Content,Yes,Y,Y,Y,Y,Y,Y,Y,Y,P,Y,Y,N,P,Y,N,Y,Y,N,P,Y,Y
Data,Labeling of Input Data,"Clinical outcome vs. expert rating, number and expertise of labellers","Content, Quality",Partially,Y,Y,N,N,Y,Y,P,Y,Y,N,N,N,P,Y,N,Y,Y,N,Y,N,P
Data,Rater Variability,Inter- and intrarater variability,Quality,Partially,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Data,Data Processing Location,"Specification of data processing location (local vs. cloud, external institutions involved in data processing, data flow)",Content,Partially,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N
Data,De-Identification,Address anonymization/de-identification of data,Quality,Partially,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N
Data,Data Dictionary,Release data dictionary with explanations of variables,Content,Partially,N,N,N,N,N,N,N,N,P,N,Y,N,N,N,N,Y,N,N,N,N,N
Data,Data Leakage,"Independence of training/validation/test data (i.e. do not use evaluation sets for feature selection, preprocessing steps or parameter tuning)",Quality,Yes,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N
Data,Representativeness,Training and test data should be representative of real-world clinical settings,Quality,Yes,P,N,P,N,N,N,N,N,Y,Y,N,Y,P,P,N,N,N,N,Y,P,Y
Data,Basic Statistics of the Dataset,Distribution of input and outcomes,Content,Partially,Y,Y,Y,Y,N,N,Y,P,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,Y
Model Training and Validation,Type of Prediction Model,"Type of algorithm, classification vs. regression",Content,Yes,N,Y,Y,Y,Y,Y,N,Y,N,P,Y,Y,N,N,N,Y,Y,Y,Y,N,N
Model Training and Validation,Model Development,"Identification and removal of redundant independent variables, model training and selection strategy",Content,Yes,P,Y,Y,Y,N,P,Y,P,P,Y,Y,Y,P,P,Y,Y,Y,P,Y,P,P
