groups,Guideline Item,% Item included in high-level consensus guidelines (Y/P),% Item included in intermediate-level consensus guidelines (Y/P),% Item included in low-level consensus guidelines (Y/P),% Item included in all guidelines (Y/P)
Clinical Rationale,Topic,"0,75","0,17","0,29","0,43"
Clinical Rationale,Study Design,"0,63","0,50","0,14","0,43"
Clinical Rationale,Prediction Problem,"0,88","0,67","0,57","0,71"
Clinical Rationale,Clinical Setting,"1,00","0,67","0,57","0,76"
Clinical Rationale,Rationale,"1,00","0,50","0,57","0,71"
Clinical Rationale,Existing AI and Statistical Models,"0,75","0,50","0,71","0,67"
Clinical Rationale,State-of-the-art,"0,50","0,67","0,14","0,43"
Data,"Data Sources, Types, and Structure","1,00","1,00","0,86","0,95"
Data,Data Selection,"0,88","0,50","0,57","0,67"
Data,Data Preprocessing,"1,00","0,83","0,71","0,86"
Data,Labeling of Input Data,"0,75","0,50","0,57","0,62"
Data,Rater Variability,"0,25","0,00","0,14","0,14"
Data,Data Processing Location,"0,13","0,17","0,14","0,14"
Data,De-Identification,"0,13","0,17","0,43","0,24"
Data,Data Dictionary,"0,13","0,33","0,14","0,19"
Data,Data Leakage,"0,13","0,67","0,43","0,38"
Data,Representativeness,"0,38","0,83","0,43","0,52"
Data,Basic Statistics of the Dataset,"0,75","0,50","0,43","0,57"
Model Training and Validation,Type of Prediction Model,"0,75","0,50","0,57","0,62"
Model Training and Validation,Model Development,"0,88","1,00","1,00","0,95"
Model Training and Validation,Model Validation,"0,75","0,83","1,00","0,86"
Model Training and Validation,Model Interpretability,"0,25","0,50","0,43","0,38"
Model Training and Validation,Model Performance and Interpretation,"1,00","0,83","0,86","0,90"
Model Training and Validation,Computational Cost,"0,13","0,17","0,14","0,14"
Model Training and Validation,Statistical Methods,"0,38","0,50","0,71","0,52"
Model Training and Validation,Performance Errors,"0,88","0,50","0,43","0,62"
Model Training and Validation,Over-/Underfitting,"0,13","0,33","0,14","0,19"
Critical Appraisal,Clinical Implications and Practical Value,"1,00","0,33","0,29","0,57"
Critical Appraisal,Translation,"0,38","0,33","0,43","0,38"
Critical Appraisal,Limitations,"1,00","0,50","0,43","0,67"
Ethics and Reproducibility,Data Publication,"0,38","0,33","0,43","0,38"
Ethics and Reproducibility,Code Publication,"0,63","0,50","0,29","0,48"
Ethics and Reproducibility,AI Intervention Publication,"0,50","0,33","0,00","0,29"
Ethics and Reproducibility,Future Updates,"0,50","0,33","0,43","0,43"
Ethics and Reproducibility,Ethical Statement,"0,63","0,17","0,00","0,29"
Ethics and Reproducibility,Equity and Access,"0,25","0,33","0,00","0,19"
Ethics and Reproducibility,Legal and Regulatory Aspects,"0,13","0,17","0,29","0,19"
