groups,Guideline Item,% Item included in all guidelines (Y/P),% Item included in high-level consensus guidelines (Y/P),% Item included in intermediate-level consensus guidelines (Y/P),% Item included in low-level consensus guidelines (Y/P),General,Specific
Clinical Rationale,Topic,"0,43","0,75","0,17","0,29","0,45","0,45"
Clinical Rationale,Study Design,"0,43","0,63","0,50","0,14","0,45","0,45"
Clinical Rationale,Prediction Problem,"0,71","0,88","0,67","0,57","0,73","0,73"
Clinical Rationale,Clinical Setting,"0,76","1,00","0,67","0,57","0,73","0,82"
Clinical Rationale,Rationale,"0,71","1,00","0,50","0,57","0,73","0,73"
Clinical Rationale,Existing AI and Statistical Models,"0,67","0,75","0,50","0,71","0,82","0,55"
Clinical Rationale,State-of-the-art,"0,43","0,50","0,67","0,14","0,64","0,27"
Data,"Data Sources, Types, and Structure","0,95","1,00","1,00","0,86","0,91","1,00"
Data,Data Selection,"0,67","0,88","0,50","0,57","0,73","0,64"
Data,Data Preprocessing,"0,86","1,00","0,83","0,71","0,82","0,91"
Data,Labeling of Input Data,"0,62","0,75","0,50","0,57","0,55","0,73"
Data,Rater Variability,"0,14","0,25","0,00","0,14","0,09","0,27"
Data,Data Processing Location,"0,14","0,13","0,17","0,14","0,00","0,36"
Data,De-Identification,"0,24","0,13","0,17","0,43","0,00","0,55"
Data,Data Dictionary,"0,19","0,13","0,33","0,14","0,09","0,36"
Data,Data Leakage,"0,38","0,13","0,67","0,43","0,36","0,45"
Data,Representativeness,"0,52","0,38","0,83","0,43","0,55","0,55"
Data,Basic Statistics of the Dataset,"0,57","0,75","0,50","0,43","0,64","0,55"
Model Training and Validation,Type of Prediction Model,"0,62","0,75","0,50","0,57","0,64","0,64"
Model Training and Validation,Model Development,"0,95","0,88","1,00","1,00","0,91","1,00"
Model Training and Validation,Model Validation,"0,86","0,75","0,83","1,00","0,82","0,91"
Model Training and Validation,Model Interpretability,"0,38","0,25","0,50","0,43","0,36","0,45"
Model Training and Validation,Model Performance and Interpretation,"0,90","1,00","0,83","0,86","1,00","0,82"
Model Training and Validation,Computational Cost,"0,14","0,13","0,17","0,14","0,09","0,27"
Model Training and Validation,Statistical Methods,"0,52","0,38","0,50","0,71","0,64","0,45"
Model Training and Validation,Performance Errors,"0,62","0,88","0,50","0,43","0,73","0,55"
Model Training and Validation,Over-/Underfitting,"0,19","0,13","0,33","0,14","0,27","0,18"
Critical Appraisal,Clinical Implications and Practical Value,"0,57","1,00","0,33","0,29","0,64","0,55"
Critical Appraisal,Translation,"0,38","0,38","0,33","0,43","0,27","0,55"
Critical Appraisal,Limitations,"0,67","1,00","0,50","0,43","0,73","0,64"
Ethics and Reproducibility,Data Publication,"0,38","0,38","0,33","0,43","0,55","0,27"
Ethics and Reproducibility,Code Publication,"0,48","0,63","0,50","0,29","0,64","0,36"
Ethics and Reproducibility,AI Intervention Publication,"0,29","0,50","0,33","0,00","0,45","0,18"
Ethics and Reproducibility,Future Updates,"0,43","0,50","0,33","0,43","0,36","0,55"
Ethics and Reproducibility,Ethical Statement,"0,29","0,63","0,17","0,00","0,36","0,27"
Ethics and Reproducibility,Equity and Access,"0,19","0,25","0,33","0,00","0,18","0,27"
Ethics and Reproducibility,Legal and Regulatory Aspects,"0,19","0,13","0,17","0,29","0,00","0,45"
