chr,start,end
STARE-HI,1,249250621
CONSORT,1,243199373
Vihinen,1,198022430
TRIPOD,1,191154276
Luo et al.,1,180915260
Good ML Practice,1,171115067
CLAIM,1,159138663
CONSORT-AI,1,146364022
MI-CLAIM,1,141213431
PRIME,1,135534747
SPIRIT-AI,1,135006516
DOME,1,133851895
PIECES,1,115169878
Zukotynski et al.,1,107349540
CLEAR Derm,1,102531392
DECIDE-AI,1,90354753
Jones et al.,1,81195210
R-AI-DIOLOGY,1,78077248
Shen,1,59128983
Volovici et al.,1,63025520
Hatt et al.,1,48129895
catagory1,,
catagory2,,
catagory3,,
catagory4,,
catagory5,,
catagory6,,
catagory7,,
catagory8,,
catagory9,,
catagory10,,
catagory11,,
catagory12,,
catagory13,,
catagory14,,
catagory15,,
catagory16,,
catagory17,,
catagory18,,
catagory19,,
catagory20,,
catagory21,,
catagory22,,
catagory23,,
catagory24,,
catagory25,,
catagory26,,
catagory27,,
catagory28,,
catagory29,,
catagory30,,
catagory31,,
catagory32,,
catagory33,,
catagory34,,
catagory35,,
catagory36,,
catagory37,,
catagory38,,
catagory39,,
